run_id,algo,features,seed,timesteps,train_status,train_seconds,savestate,episode,reward,steps,survived,eval_csv
grid_ppo_impala_s1_100k,ppo,impala,1,100000,ok,3147,Super Mario 64 DS (USA) (Rev 1).ds3,0,68.96702495065983,450,True,eval_grid_ppo_impala_s1_100k_ds1.csv
grid_ppo_impala_s1_100k,ppo,impala,1,100000,ok,3147,Super Mario 64 DS (USA) (Rev 1).ds3,1,68.96702495065983,450,True,eval_grid_ppo_impala_s1_100k_ds1.csv
grid_ppo_impala_s1_100k,ppo,impala,1,100000,ok,3147,Super Mario 64 DS (USA) (Rev 1).ds3,2,68.96702495065983,450,True,eval_grid_ppo_impala_s1_100k_ds1.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds1,0,-85.370404495392,128,False,eval_grid_ppo_impala_s2_100k_ds0.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds1,1,-85.370404495392,128,False,eval_grid_ppo_impala_s2_100k_ds0.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds1,2,-85.370404495392,128,False,eval_grid_ppo_impala_s2_100k_ds0.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds3,0,-59.55377527978271,238,False,eval_grid_ppo_impala_s2_100k_ds1.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds3,1,-59.55377527978271,238,False,eval_grid_ppo_impala_s2_100k_ds1.csv
grid_ppo_impala_s2_100k,ppo,impala,2,100000,ok,3149,Super Mario 64 DS (USA) (Rev 1).ds3,2,-59.55377527978271,238,False,eval_grid_ppo_impala_s2_100k_ds1.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds1,0,92.13556775031611,450,True,eval_grid_rainbow_nature_s0_100k_ds0.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds1,1,92.13556775031611,450,True,eval_grid_rainbow_nature_s0_100k_ds0.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds1,2,92.13556775031611,450,True,eval_grid_rainbow_nature_s0_100k_ds0.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds3,0,-69.87039348809049,205,False,eval_grid_rainbow_nature_s0_100k_ds1.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds3,1,-69.87039348809049,205,False,eval_grid_rainbow_nature_s0_100k_ds1.csv
grid_rainbow_nature_s0_100k,rainbow,nature,0,100000,ok,15312,Super Mario 64 DS (USA) (Rev 1).ds3,2,-69.87039348809049,205,False,eval_grid_rainbow_nature_s0_100k_ds1.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds1,0,-25.145788606838323,227,False,eval_grid_qrdqn_nature_s0_100k_ds0.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds1,1,-25.145788606838323,227,False,eval_grid_qrdqn_nature_s0_100k_ds0.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds1,2,-25.145788606838323,227,False,eval_grid_qrdqn_nature_s0_100k_ds0.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds3,0,-78.90871442854404,59,False,eval_grid_qrdqn_nature_s0_100k_ds1.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds3,1,-78.90871442854404,59,False,eval_grid_qrdqn_nature_s0_100k_ds1.csv
grid_qrdqn_nature_s0_100k,qrdqn,nature,0,100000,ok,2444,Super Mario 64 DS (USA) (Rev 1).ds3,2,-78.90871442854404,59,False,eval_grid_qrdqn_nature_s0_100k_ds1.csv
